년월,평균기온,최저기온,최고기온,강수량,서리일수,결빙일수,우박일수,가격
Jan.06,-0.7,-6.1,5.2,27.8,25,28,0,"34,515"
Feb.06,0.3,-4.7,5.8,31.9,20,25,0,"32,367"
Mar.06,5.5,-0.7,12,9.1,13,17,0,"30,546"
Apr.06,11,5,17.3,99.6,4,1,0,"32,100"
May.06,17.4,11.6,23.6,145.9,0,0,0,"32,200"
Jun.06,21.5,16,27.5,54.5,0,0,0,"36,667"
Jul.06,22.5,20,26.1,551.6,0,0,0,"39,800"
Aug.06,26,21.9,31.2,59.1,0,0,0,"38,756"
Sep.06,18.4,13.4,24.3,49.6,0,0,0,-
Oct.06,15.6,9.8,23,23.6,0,0,0,"30,375"
Nov.06,7.1,1.8,13.1,38.6,10,9,0,"30,381"
Dec.06,0.3,-4.7,6.5,6.8,27,30,0,"35,033"
Jan.07,-0.4,-5.9,6.3,1.4,25,28,0,"37,151"
Feb.07,3.3,-3,10.4,33.7,19,23,0,"45,930"
Mar.07,5.9,0.7,12.1,82.2,10,14,0,"43,333"
Apr.07,11.5,4.7,18.4,17.8,3,4,0,"52,063"
May.07,18,11.6,25,101.3,0,0,0,"50,476"
Jun.07,22,16.6,28.1,127,0,0,0,"43,600"
Jul.07,23.2,19.9,27.5,173.9,0,0,1,"36,032"
Aug.07,25.7,22.3,30.3,261.5,0,0,0,"30,000"
Sep.07,20.9,17.6,24.8,280.5,0,0,0,-
Oct.07,14.5,9.6,21,21.6,1,0,0,"26,667"
Nov.07,5.8,-0.5,13.5,1.9,17,19,0,"26,970"
Dec.07,1.1,-3.4,6.6,19.2,23,25,0,"30,246"
Jan.08,-1,-5.6,4.2,27.8,20,28,0,"32,151"
Feb.08,-1.1,-7.8,5.7,2.8,19,29,0,"33,333"
Mar.08,6.7,0.6,13.5,43.7,15,15,0,"32,508"
Apr.08,13.2,5.9,20.4,38.1,2,1,0,"34,381"
May.08,18.1,11.1,24.9,58.5,0,0,0,"35,824"
Jun.08,20.5,15.6,25.9,138.5,0,0,0,"42,633"
Jul.08,26.6,22.6,31.6,168.1,0,0,0,"51,449"
Aug.08,24.3,20,29.7,138.5,0,0,0,"53,333"
Sep.08,20.8,16.2,26.8,72.1,0,0,0,-
Oct.08,14.7,9.4,21.6,34.8,1,0,0,"24,583"
Nov.08,6.3,1,12.6,7,15,11,0,"27,867"
Dec.08,0.3,-5.3,6.7,8,20,30,0,"30,667"
Jan.09,-2.6,-8.8,4.2,4.9,22,31,0,"34,105"
Feb.09,3.5,-2.6,9.7,18.2,14,22,0,"29,933"
Mar.09,7,0.7,13.5,46.3,4,18,0,"41,424"
Apr.09,13,5.7,20.4,34.3,1,1,0,"43,333"
May.09,18.5,11.5,26.1,121.1,0,0,0,"43,333"
Jun.09,22.2,16.5,28.2,79,0,0,0,"43,333"
Jul.09,23.6,19.9,28.4,474.3,0,0,0,"43,333"
Aug.09,24,20,28.7,130,0,0,0,"38,456"
Sep.09,20.5,15.6,26.6,78.2,0,0,0,-
Oct.09,14.2,7.8,21.9,7.6,0,0,0,"21,067"
Nov.09,6.8,2,12.5,35,10,16,0,"27,397"
Dec.09,-0.2,-4.7,5.3,29.6,8,28,0,"34,508"
Jan.10,-3.3,-9.1,2.5,14.9,16,30,0,"39,633"
Feb.10,1.3,-3.6,6.8,71.9,11,20,0,"41,368"
Mar.10,4.7,0.3,9.7,61.3,1,16,0,"40,000"
Apr.10,9.8,3.6,16.1,45.7,6,8,0,"40,000"
May.10,17.6,10.9,24.4,105.6,0,0,0,"40,000"
Jun.10,23.2,17,29.9,12.5,0,0,0,"40,000"
Jul.10,26,22.1,30.8,100.9,0,0,0,"38,333"
Aug.10,27.3,23.6,32.2,447.8,0,0,0,"37,030"
Sep.10,21.4,17.5,27.1,163.1,0,0,0,"39,583"
Oct.10,13.8,8.9,20.5,20.9,3,4,0,-
Nov.10,5.5,-0.6,13,7.6,13,19,0,"44,788"
Dec.10,-0.7,-5.6,5,21.6,11,28,0,"64,348"
Jan.11,-5.5,-11.5,0.4,0.5,14,31,0,"61,746"
Feb.11,1.4,-4.7,8.1,53.5,23,25,0,"62,745"
Mar.11,4.6,-1.7,10.9,18.4,6,25,0,"59,492"
Apr.11,11.5,4.9,18.3,78.1,4,4,0,"53,807"
May.11,17.5,11.6,23.7,151.5,0,0,0,"60,000"
Jun.11,22.6,17.3,28.5,284.6,0,0,0,"60,000"
Jul.11,25.5,22.3,29.8,247,0,0,0,"60,000"
Aug.11,25.1,21.7,29.8,222.1,0,0,0,"60,000"
Sep.11,20.7,16.2,26.4,61.6,0,0,0,-
Oct.11,13.1,7.6,20.2,55.6,2,1,0,"41,333"
Nov.11,9.8,5.2,15.1,63.8,7,10,0,"44,727"
Dec.11,-0.4,-5.7,5.4,14.8,19,29,0,"53,555"
Jan.12,-1.9,-7.4,4,12.7,17,28,0,"57,133"
Feb.12,-1.2,-7.1,4.9,0.9,17,27,0,"50,000"
Mar.12,5.7,0.3,11.2,58.4,10,15,0,"56,000"
Apr.12,13.2,6.7,20.1,80.8,2,5,0,"58,233"
May.12,18.6,12.3,25.4,37.1,0,0,0,"62,667"
Jun.12,22.4,17.5,28,58.6,0,0,0,"68,300"
Jul.12,26.1,22.1,30.8,173.6,0,0,0,"78,182"
Aug.12,26.7,23.1,31.5,353.6,0,0,0,"80,000"
Sep.12,20.3,16,25.8,164.3,0,0,0,"80,000"
Oct.12,13.3,7.5,20.7,39.5,2,1,0,-
Nov.12,5.6,0.3,11.5,25.7,18,17,0,"46,667"
Dec.12,-3,-7.6,1.8,41.8,4,30,0,"47,895"
Jan.13,-3.2,-9,2.7,27.3,2,29,0,"47,425"
Feb.13,0.6,-4.7,6.4,31.7,3,26,0,"53,158"
Mar.13,7.1,-0.5,14.9,43.8,2,15,0,"53,000"
Apr.13,10.5,4,17,80.6,3,6,0,"50,000"
May.13,18.7,11.9,25.8,96.8,0,0,0,"47,143"
Jun.13,23.2,18.6,28.9,187.2,0,0,0,"44,035"
Jul.13,26.8,23.6,31.5,130.2,0,0,0,"44,145"
Aug.13,27.4,22.8,33,124.6,0,0,0,"44,667"
Sep.13,19.9,15,26.2,151.2,0,0,0,"44,667"
Oct.13,13.7,8,21.2,45.2,2,2,0,-
Nov.13,4.5,-0.8,10.8,49.3,10,19,0,"45,873"
Dec.13,0,-5.3,5.9,12,21,30,0,"43,174"
Jan.14,-0.6,-6.9,6.1,1.1,17,30,0,"60,333"
Feb.14,1.9,-3.8,8.1,6.1,7,24,0,"60,667"
Mar.14,7.5,1.2,14.1,80.9,8,15,0,"58,572"
Apr.14,13.9,6.9,21,60,0,0,0,"56,667"
May.14,18.6,11.2,26.2,22.9,0,0,0,"58,526"
Jun.14,21.7,17.1,27.5,49.5,0,0,0,"65,614"
Jul.14,25.4,20.9,31.1,69.4,0,0,0,"66,667"
Aug.14,23.2,20,27.8,348.8,0,0,0,"64,902"
Sep.14,20,15.6,26.2,121.5,0,0,0,-
Oct.14,13.2,7.7,20.3,140.5,0,0,0,"38,095"
Nov.14,7.1,1.9,13.4,49.9,10,11,0,"35,933"
Dec.14,-2.4,-7.1,2.9,9.8,12,30,0,"35,333"
